product_id,product_name,category,brand,color,size,catalog_price,cost_price,gender
1,Soft Wrap Dress,Dresses,Tiva,Green,S,40.41,20.7,Female
2,Soft Wrap Tee,T-Shirts,Tiva,White,S,78.45,53.76,Female
3,Soft Linen Tee,T-Shirts,Tiva,Green,XL,23.9,14.81,Female
4,Soft Ribbed Tee,T-Shirts,Tiva,White,S,60,34.78,Female
5,Soft Wrap Trousers,Pants,Tiva,Blue,M,36.84,16.46,Female
6,Soft Wrap Shoes,Shoes,Tiva,Green,36,70.86,31.66,Female
7,Soft Linen Dress,Dresses,Tiva,White,M,57.66,24.07,Female
8,Soft Linen Trousers,Pants,Tiva,Green,M,50.91,33.59,Female
9,Soft Linen Shoes,Shoes,Tiva,Red,40,40.5,23.5,Female
10,Soft Ribbed Trousers,Pants,Tiva,Black,L,79.7,48.81,Female
11,Soft Ribbed Shoes,Shoes,Tiva,Green,38,51.09,20.75,Female
12,Soft Ribbed Dress,Dresses,Tiva,Red,XL,44.77,30.93,Female
13,Soft Cotton Shoes,Shoes,Tiva,Green,36,34.25,22.25,Female
14,Soft Cotton Dress,Dresses,Tiva,Black,XS,24.96,11.57,Female
15,Soft Cotton Tee,T-Shirts,Tiva,Blue,S,61.26,27.85,Female
16,Soft Cotton Trousers,Pants,Tiva,Blue,M,40.36,18.36,Female
17,Soft Satin Dress,Dresses,Tiva,Blue,L,51.9,25.5,Female
18,Soft Satin Shoes,Shoes,Tiva,Green,XS,40.99,22.85,Female
19,Soft Silk Dress,Dresses,Tiva,Blue,S,65.26,34.56,Female
20,Soft Crew Dress,Dresses,Tiva,White,XS,45.42,22.14,Female
21,Soft Silk Shoes,Shoes,Tiva,Red,36,43.3,25.27,Female
22,Soft Satin Tee,T-Shirts,Tiva,Black,XS,58.26,25.74,Female
23,Soft Sleeveless Dress,Dresses,Tiva,Red,XL,27.5,13.41,Female
24,Soft High-Waist Dress,Dresses,Tiva,Green,S,42.76,21.8,Female
25,Soft Wrap Set,Sleepwear,Tiva,Red,L,52.94,28.42,Female
26,Soft Crew Shoes,Shoes,Tiva,White,40,57.48,36.53,Female
27,Soft Boxy Dress,Dresses,Tiva,Red,XL,57.35,26.38,Female
28,Soft Sleeveless Shoes,Shoes,Tiva,Red,38,51.18,28.37,Female
29,Soft Linen Set,Sleepwear,Tiva,White,XS,44.27,25.58,Female
30,Soft Satin Trousers,Pants,Tiva,Blue,XS,31.09,12.87,Female
31,Soft Silk Trousers,Pants,Tiva,White,L,69.82,40.65,Female
32,Soft Silk Tee,T-Shirts,Tiva,Blue,XS,54.83,24.74,Female
33,Modern Wrap Dress,Dresses,Tiva,Blue,XL,65.23,27.36,Female
34,Modern Linen Dress,Dresses,Tiva,Green,S,48.34,33.1,Female
35,Modern Ribbed Dress,Dresses,Tiva,White,XL,61.61,42.49,Female
36,Modern Cotton Dress,Dresses,Tiva,Red,L,72.06,46.3,Female
37,Soft Crew Trousers,Pants,Tiva,Red,XS,51.33,25.22,Female
38,Soft Crew Tee,T-Shirts,Tiva,Red,XS,62.8,26.96,Female
39,Soft Sleeveless Trousers,Pants,Tiva,Red,M,29.97,18.14,Female
40,Soft High-Waist Trousers,Pants,Tiva,White,L,53.19,28.3,Female
41,Soft Boxy Trousers,Pants,Tiva,Green,M,37.94,16.57,Female
42,Soft Ribbed Set,Sleepwear,Tiva,Green,L,54.2,29.73,Female
43,Modern Satin Dress,Dresses,Tiva,Blue,L,49.4,20.27,Female
44,Modern Wrap Trousers,Pants,Tiva,Red,XS,64.84,43.62,Female
45,Soft Sleeveless Tee,T-Shirts,Tiva,Red,S,54.16,25.87,Female
46,Soft Cotton Set,Sleepwear,Tiva,Blue,XS,25.15,15.06,Female
47,Soft High-Waist Tee,T-Shirts,Tiva,White,XS,53.73,26.52,Female
48,Soft High-Waist Shoes,Shoes,Tiva,Red,XS,54.38,30.24,Female
49,Soft Boxy Tee,T-Shirts,Tiva,Black,XS,57.35,32.35,Female
50,Modern Wrap Tee,T-Shirts,Tiva,Red,M,61.95,28.22,Female
51,Soft Satin Set,Sleepwear,Tiva,Green,XL,25.38,17.53,Female
52,Modern Linen Tee,T-Shirts,Tiva,White,XL,53.61,33.91,Female
53,Soft Boxy Shoes,Shoes,Tiva,Black,XS,57.17,38.98,Female
54,Modern Silk Dress,Dresses,Tiva,Blue,L,60.33,40.33,Female
55,Modern Ribbed Tee,T-Shirts,Tiva,Red,XS,44.32,25.68,Female
56,Modern Wrap Shoes,Shoes,Tiva,Red,XS,62.92,42.57,Female
57,Modern Crew Dress,Dresses,Tiva,Green,M,52.28,22.3,Female
58,Modern Sleeveless Dress,Dresses,Tiva,Red,XL,35.81,16.43,Female
59,Soft Silk Set,Sleepwear,Tiva,Blue,S,34.58,14.3,Female
60,Modern Cotton Tee,T-Shirts,Tiva,Green,M,81.7,40.65,Female
61,Modern Satin Tee,T-Shirts,Tiva,Green,XL,50.88,26.28,Female
62,Modern Linen Trousers,Pants,Tiva,Green,XL,46.09,22.19,Female
63,Soft Crew Set,Sleepwear,Tiva,Green,XL,58.67,38.05,Female
64,Soft Sleeveless Set,Sleepwear,Tiva,Black,M,13.51,6.85,Female
65,Modern Silk Tee,T-Shirts,Tiva,Green,M,27.45,13.29,Female
66,Modern High-Waist Dress,Dresses,Tiva,Black,S,24.13,13.58,Female
67,Modern Crew Tee,T-Shirts,Tiva,Blue,XS,67.37,29.8,Female
68,Soft High-Waist Set,Sleepwear,Tiva,Blue,M,47.27,30.28,Female
69,Modern Linen Shoes,Shoes,Tiva,White,38,49.98,21.11,Female
70,Modern Boxy Dress,Dresses,Tiva,White,L,66.33,46.17,Female
71,Modern Ribbed Trousers,Pants,Tiva,Red,XL,80.76,51.01,Female
72,Classic Wrap Dress,Dresses,Tiva,Red,M,72.8,33.46,Female
73,Soft Boxy Set,Sleepwear,Tiva,Black,XS,53.25,21.39,Female
74,Modern Wrap Set,Sleepwear,Tiva,Red,XS,40.94,26.39,Female
75,Modern Linen Set,Sleepwear,Tiva,Green,M,52.83,32.33,Female
76,Modern Cotton Trousers,Pants,Tiva,Blue,L,51.7,31.99,Female
77,Classic Linen Dress,Dresses,Tiva,Black,XS,52.38,33.07,Female
78,Modern Ribbed Shoes,Shoes,Tiva,Green,35,59.21,25,Female
79,Modern Satin Trousers,Pants,Tiva,Red,L,63.22,32.09,Female
80,Classic Ribbed Dress,Dresses,Tiva,Black,S,31.86,13.85,Female
81,Modern Ribbed Set,Sleepwear,Tiva,Black,XL,29.63,19.52,Female
82,Classic Cotton Dress,Dresses,Tiva,Green,S,32.21,18.91,Female
83,Modern Sleeveless Tee,T-Shirts,Tiva,Blue,XS,57.8,28.86,Female
84,Modern Cotton Shoes,Shoes,Tiva,Blue,38,31.84,13.34,Female
85,Classic Satin Dress,Dresses,Tiva,Red,XS,37.35,18.42,Female
86,Modern Cotton Set,Sleepwear,Tiva,White,XL,41.26,20.53,Female
87,Classic Silk Dress,Dresses,Tiva,White,M,53.32,33,Female
88,Modern Satin Set,Sleepwear,Tiva,Red,L,29.81,17.63,Female
89,Modern Satin Shoes,Shoes,Tiva,Red,36,45.12,30.06,Female
90,Modern Silk Shoes,Shoes,Tiva,Blue,40,31.67,17.15,Female
91,Modern Silk Set,Sleepwear,Tiva,Green,XS,33.95,14.8,Female
92,Modern Crew Shoes,Shoes,Tiva,Black,XS,40.25,24.71,Female
93,Modern Silk Trousers,Pants,Tiva,Black,M,39.18,24.61,Female
94,Modern Sleeveless Shoes,Shoes,Tiva,Blue,38,45.8,26.03,Female
95,Modern Crew Set,Sleepwear,Tiva,Red,L,31.15,19.66,Female
96,Modern High-Waist Tee,T-Shirts,Tiva,Black,XL,39.03,21.39,Female
97,Modern High-Waist Shoes,Shoes,Tiva,Red,36,55.27,30.78,Female
98,Modern Boxy Shoes,Shoes,Tiva,Black,38,78.52,41.48,Female
99,Modern Boxy Tee,T-Shirts,Tiva,White,XS,59.78,24.37,Female
100,Classic Crew Dress,Dresses,Tiva,White,XL,56.44,24.4,Female
101,Classic Wrap Tee,T-Shirts,Tiva,Green,L,58.11,23.79,Female
102,Classic Linen Tee,T-Shirts,Tiva,Green,S,43.06,25.45,Female
103,Classic Ribbed Tee,T-Shirts,Tiva,Blue,S,57,28.18,Female
104,Classic Wrap Shoes,Shoes,Tiva,Green,36,73.78,40.77,Female
105,Classic Cotton Tee,T-Shirts,Tiva,Black,S,36.9,24.81,Female
106,Classic Satin Tee,T-Shirts,Tiva,Blue,XS,40.75,19.35,Female
107,Classic Linen Shoes,Shoes,Tiva,Red,36,55.06,28.8,Female
108,Modern Crew Trousers,Pants,Tiva,Green,S,48.19,30.2,Female
109,Classic Sleeveless Dress,Dresses,Tiva,Red,M,45.27,21.22,Female
110,Classic High-Waist Dress,Dresses,Tiva,Blue,M,58.7,24.84,Female
111,Modern Sleeveless Trousers,Pants,Tiva,White,XS,60.36,29.39,Female
112,Modern Sleeveless Set,Sleepwear,Tiva,Black,XS,61.2,27.44,Female
113,Classic Boxy Dress,Dresses,Tiva,White,XS,39.18,26.6,Female
114,Classic Ribbed Shoes,Shoes,Tiva,White,36,21.53,13.83,Female
115,Modern High-Waist Set,Sleepwear,Tiva,Green,XL,62.27,36.74,Female
116,Modern High-Waist Trousers,Pants,Tiva,Green,M,74.81,49.48,Female
117,Vintage Wrap Dress,Dresses,Tiva,Red,M,56.06,35.94,Female
118,Classic Silk Tee,T-Shirts,Tiva,Blue,M,46.99,21.43,Female
119,Vintage Linen Dress,Dresses,Tiva,Blue,XS,27.34,18.26,Female
120,Modern Boxy Set,Sleepwear,Tiva,Green,S,25.7,14.44,Female
121,Classic Cotton Shoes,Shoes,Tiva,Black,35,47.91,30.77,Female
122,Modern Boxy Trousers,Pants,Tiva,Green,XL,24.8,16.59,Female
123,Classic Wrap Set,Sleepwear,Tiva,White,S,61.51,30.47,Female
124,Classic Linen Set,Sleepwear,Tiva,White,S,55.04,23.83,Female
125,Classic Satin Shoes,Shoes,Tiva,Green,35,61.27,28.7,Female
126,Classic Silk Shoes,Shoes,Tiva,Green,XS,55.03,29.06,Female
127,Classic Wrap Trousers,Pants,Tiva,Red,XL,53.67,34.64,Female
128,Classic Crew Tee,T-Shirts,Tiva,Green,XL,44.9,29.55,Female
129,Classic Linen Trousers,Pants,Tiva,Red,XS,60.68,24.4,Female
130,Classic Ribbed Set,Sleepwear,Tiva,Black,L,49.12,27.17,Female
131,Classic Cotton Set,Sleepwear,Tiva,Black,S,66.63,35,Female
132,Classic Crew Shoes,Shoes,Tiva,Black,XS,46.9,21.89,Female
133,Classic Sleeveless Tee,T-Shirts,Tiva,Blue,XL,53.05,23.13,Female
134,Classic Ribbed Trousers,Pants,Tiva,Blue,XL,61.75,30.95,Female
135,Classic Sleeveless Shoes,Shoes,Tiva,Blue,40,42.47,29,Female
136,Classic Cotton Trousers,Pants,Tiva,Red,XS,46.8,23.26,Female
137,Classic Satin Trousers,Pants,Tiva,White,XL,46.52,25.85,Female
138,Classic High-Waist Shoes,Shoes,Tiva,White,36,49.21,30.06,Female
139,Classic High-Waist Tee,T-Shirts,Tiva,Green,L,33.59,17.1,Female
140,Vintage Ribbed Dress,Dresses,Tiva,Red,XL,52.08,36.02,Female
141,Vintage Cotton Dress,Dresses,Tiva,Blue,XS,39.16,26.97,Female
142,Vintage Satin Dress,Dresses,Tiva,White,S,67.29,32,Female
143,Classic Satin Set,Sleepwear,Tiva,Green,S,39.75,21.83,Female
144,Classic Silk Trousers,Pants,Tiva,Blue,L,41.84,20.51,Female
145,Classic Boxy Shoes,Shoes,Tiva,Black,40,58.25,28.28,Female
146,Vintage Wrap Shoes,Shoes,Tiva,White,36,81.06,33.32,Female
147,Vintage Linen Shoes,Shoes,Tiva,Black,35,52.91,30.84,Female
148,Classic Boxy Tee,T-Shirts,Tiva,Blue,S,36.69,20.21,Female
149,Classic Crew Trousers,Pants,Tiva,Green,L,42.24,17.55,Female
150,Vintage Wrap Tee,T-Shirts,Tiva,Green,XS,50.04,24.2,Female
151,Classic Sleeveless Trousers,Pants,Tiva,White,L,36.47,24.53,Female
152,Classic Silk Set,Sleepwear,Tiva,Black,XS,61.7,29.11,Female
153,Vintage Ribbed Shoes,Shoes,Tiva,Red,38,52.36,23.22,Female
154,Classic Crew Set,Sleepwear,Tiva,Red,XL,53.74,29.39,Female
155,Vintage Silk Dress,Dresses,Tiva,Red,XS,46.07,32.05,Female
156,Vintage Crew Dress,Dresses,Tiva,Black,S,55.52,26.24,Female
157,Classic Sleeveless Set,Sleepwear,Tiva,Black,M,41.56,25,Female
158,Vintage Sleeveless Dress,Dresses,Tiva,Black,XL,45.15,28.38,Female
159,Classic High-Waist Trousers,Pants,Tiva,Blue,S,33.59,15.83,Female
160,Classic High-Waist Set,Sleepwear,Tiva,Green,L,59.38,36.72,Female
161,Vintage Linen Tee,T-Shirts,Tiva,White,S,45.75,23.35,Female
162,Classic Boxy Set,Sleepwear,Tiva,Green,L,66.5,39.21,Female
163,Vintage Wrap Set,Sleepwear,Tiva,Blue,XS,76.96,45.41,Female
164,Vintage High-Waist Dress,Dresses,Tiva,Blue,M,22.96,12.87,Female
165,Vintage Cotton Shoes,Shoes,Tiva,Green,40,42.67,18.22,Female
166,Vintage Satin Shoes,Shoes,Tiva,Black,40,65.26,42.46,Female
167,Vintage Silk Shoes,Shoes,Tiva,Blue,36,70.55,35.01,Female
168,Vintage Ribbed Tee,T-Shirts,Tiva,Red,M,54.74,24.96,Female
169,Vintage Linen Set,Sleepwear,Tiva,Red,XL,32.94,13.58,Female
170,Vintage Boxy Dress,Dresses,Tiva,Blue,XL,51.27,29.6,Female
171,Polished Wrap Dress,Dresses,Tiva,Black,S,30.26,18.25,Female
172,Vintage Crew Shoes,Shoes,Tiva,White,40,41.7,16.89,Female
173,Polished Linen Dress,Dresses,Tiva,White,L,49.74,27.54,Female
174,Vintage Ribbed Set,Sleepwear,Tiva,Red,XL,26.41,12.36,Female
175,Vintage Cotton Tee,T-Shirts,Tiva,Black,XS,49.16,29.18,Female
176,Polished Ribbed Dress,Dresses,Tiva,White,S,27.94,12.64,Female
177,Vintage Cotton Set,Sleepwear,Tiva,Green,S,42.66,25.91,Female
178,Classic Boxy Trousers,Pants,Tiva,Black,XS,39.34,20.3,Female
179,Vintage Satin Tee,T-Shirts,Tiva,Blue,XS,44.59,30.37,Female
180,Vintage Sleeveless Shoes,Shoes,Tiva,Blue,40,38.81,17.13,Female
181,Vintage High-Waist Shoes,Shoes,Tiva,Black,35,52.18,26.21,Female
182,Vintage Satin Set,Sleepwear,Tiva,Red,S,78.63,34.13,Female
183,Vintage Silk Set,Sleepwear,Tiva,White,L,47.87,32.43,Female
184,Vintage Wrap Trousers,Pants,Tiva,Green,L,44.08,29.23,Female
185,Vintage Linen Trousers,Pants,Tiva,Green,L,47.73,22.79,Female
186,Vintage Boxy Shoes,Shoes,Tiva,Green,35,59.35,35.49,Female
187,Vintage Ribbed Trousers,Pants,Tiva,Blue,M,30.19,19.48,Female
188,Polished Wrap Shoes,Shoes,Tiva,Green,38,55.01,31.17,Female
189,Vintage Crew Set,Sleepwear,Tiva,Blue,XS,48.12,26.89,Female
190,Polished Cotton Dress,Dresses,Tiva,Red,XS,49.41,23.35,Female
191,Polished Satin Dress,Dresses,Tiva,Blue,XS,60.52,25.9,Female
192,Polished Silk Dress,Dresses,Tiva,Green,L,62.48,41.81,Female
193,Vintage Silk Tee,T-Shirts,Tiva,Blue,XL,50.52,33.85,Female
194,Vintage Sleeveless Set,Sleepwear,Tiva,White,M,64.11,37.82,Female
195,Vintage Crew Tee,T-Shirts,Tiva,Black,XL,16.69,8.37,Female
196,Vintage Cotton Trousers,Pants,Tiva,White,S,59.41,29.99,Female
197,Polished Linen Shoes,Shoes,Tiva,Black,35,66.68,41.19,Female
198,Polished Crew Dress,Dresses,Tiva,Blue,S,14.64,9.8,Female
199,Polished Sleeveless Dress,Dresses,Tiva,Green,S,36.48,24.3,Female
200,Vintage High-Waist Set,Sleepwear,Tiva,Black,S,46.41,29.42,Female
201,Vintage Sleeveless Tee,T-Shirts,Tiva,White,L,45.62,27.03,Female
202,Vintage High-Waist Tee,T-Shirts,Tiva,Green,XL,41.88,17.81,Female
203,Polished High-Waist Dress,Dresses,Tiva,White,L,52.1,23.37,Female
204,Polished Boxy Dress,Dresses,Tiva,White,XS,39.2,26.25,Female
205,Vintage Satin Trousers,Pants,Tiva,Green,XS,24.05,14,Female
206,Vintage Silk Trousers,Pants,Tiva,Blue,XL,63.03,25.39,Female
207,Vintage Boxy Tee,T-Shirts,Tiva,Red,S,67.98,29.26,Female
208,Polished Wrap Tee,T-Shirts,Tiva,Green,M,37.45,22.43,Female
209,Polished Ribbed Shoes,Shoes,Tiva,Green,40,32.41,13.01,Female
210,Vintage Boxy Set,Sleepwear,Tiva,Blue,XL,57.32,25.69,Female
211,Polished Cotton Shoes,Shoes,Tiva,Blue,36,43.5,24.56,Female
212,Polished Linen Tee,T-Shirts,Tiva,Green,XS,74.13,45.04,Female
213,Polished Ribbed Tee,T-Shirts,Tiva,Black,S,57.31,34.13,Female
214,Vintage Crew Trousers,Pants,Tiva,Blue,S,59.07,27.6,Female
215,Vintage Sleeveless Trousers,Pants,Tiva,Green,L,37.11,22.77,Female
216,Polished Satin Shoes,Shoes,Tiva,Blue,XS,48.86,23.02,Female
217,Polished Cotton Tee,T-Shirts,Tiva,White,XS,52.12,25.94,Female
218,Polished Satin Tee,T-Shirts,Tiva,Red,S,48.73,30.4,Female
219,Polished Silk Shoes,Shoes,Tiva,Blue,40,49.76,29.6,Female
220,Polished Wrap Set,Sleepwear,Tiva,Red,L,52.6,34.44,Female
221,Polished Silk Tee,T-Shirts,Tiva,Black,M,53.7,32.07,Female
222,Relaxed Wrap Dress,Dresses,Tiva,Black,M,57.19,32.63,Female
223,Vintage High-Waist Trousers,Pants,Tiva,Green,L,57.36,24.56,Female
224,Relaxed Linen Dress,Dresses,Tiva,Red,L,75.4,38.48,Female
225,Polished Crew Shoes,Shoes,Tiva,White,XS,58.11,27.87,Female
226,Polished Linen Set,Sleepwear,Tiva,Green,S,39.78,18.82,Female
227,Polished Crew Tee,T-Shirts,Tiva,White,S,57.51,39.79,Female
228,Vintage Boxy Trousers,Pants,Tiva,Blue,L,46.89,24.29,Female
229,Polished Sleeveless Shoes,Shoes,Tiva,Red,36,45.58,30.43,Female
230,Polished Ribbed Set,Sleepwear,Tiva,White,XS,48.3,28.47,Female
231,Polished High-Waist Shoes,Shoes,Tiva,Blue,36,44.06,28.13,Female
232,Polished Boxy Shoes,Shoes,Tiva,Black,XS,49.34,27.18,Female
233,Relaxed Wrap Shoes,Shoes,Tiva,Black,36,38.68,22.17,Female
234,Polished Sleeveless Tee,T-Shirts,Tiva,Blue,S,80,43.82,Female
235,Polished Cotton Set,Sleepwear,Tiva,Black,M,23.68,10.86,Female
236,Relaxed Linen Shoes,Shoes,Tiva,Black,XS,62.93,38.81,Female
237,Relaxed Ribbed Dress,Dresses,Tiva,Green,XL,64.08,31.03,Female
238,Polished High-Waist Tee,T-Shirts,Tiva,Black,XS,85.9,34.99,Female
239,Polished Wrap Trousers,Pants,Tiva,Green,XL,66.99,39.77,Female
240,Polished Linen Trousers,Pants,Tiva,Blue,M,38.14,17.28,Female
241,Polished Ribbed Trousers,Pants,Tiva,Black,L,29.82,20.34,Female
242,Relaxed Ribbed Shoes,Shoes,Tiva,Black,XS,51.25,35.17,Female
243,Polished Satin Set,Sleepwear,Tiva,Black,S,37.06,25,Female
244,Relaxed Cotton Shoes,Shoes,Tiva,Red,40,59.32,30.32,Female
245,Relaxed Cotton Dress,Dresses,Tiva,Blue,L,24.91,10.08,Female
246,Relaxed Satin Dress,Dresses,Tiva,White,XS,28.98,19.66,Female
247,Polished Cotton Trousers,Pants,Tiva,Black,L,58.86,31.1,Female
248,Polished Boxy Tee,T-Shirts,Tiva,White,XL,36.79,25.38,Female
249,Polished Silk Set,Sleepwear,Tiva,White,XL,28.42,19.58,Female
250,Relaxed Satin Shoes,Shoes,Tiva,Red,38,68.22,44.75,Female
251,Relaxed Wrap Tee,T-Shirts,Tiva,Green,S,36.88,18.01,Female
