sale_id,channel,discounted,total_amount,sale_date,customer_id,country
10,E-commerce,0,299.7,2025-05-21,195,France
100,App Mobile,0,681.05,2025-04-21,518,Germany
1000,E-commerce,0,324.5,2025-05-20,439,Germany
1001,E-commerce,0,287.85,2025-04-05,349,Germany
1003,App Mobile,0,430.64,2025-06-06,727,Portugal
1004,App Mobile,0,104.73,2025-04-27,983,Germany
1006,E-commerce,0,249.21,2025-05-05,309,Spain
1007,App Mobile,0,437.52,2025-04-16,53,Italy
1008,App Mobile,0,386.92,2025-05-24,593,France
1011,App Mobile,0,212.87,2025-04-17,161,Spain
1013,App Mobile,0,178.68,2025-04-30,296,France
1014,E-commerce,0,175.37,2025-05-16,578,Germany
1015,App Mobile,0,355.88,2025-05-27,151,Spain
1016,E-commerce,0,288.61,2025-04-22,973,Italy
1017,App Mobile,0,274.38,2025-05-22,613,Netherlands
1018,E-commerce,0,272.08,2025-05-16,462,Italy
1019,E-commerce,1,363.76,2025-05-06,43,Germany
102,App Mobile,0,289.57,2025-06-14,692,France
1020,E-commerce,0,423.57,2025-05-17,120,Germany
1024,App Mobile,0,391.65,2025-04-15,331,Spain
1025,App Mobile,0,89.97,2025-05-29,318,France
1026,E-commerce,0,218.4,2025-05-19,190,Italy
1028,E-commerce,0,288.52,2025-05-25,475,Italy
1029,E-commerce,0,229.7,2025-04-17,554,France
103,E-commerce,0,452.53,2025-06-13,76,Germany
1030,App Mobile,0,261.25,2025-06-16,575,Netherlands
1031,App Mobile,0,281.67,2025-04-06,896,Portugal
1034,App Mobile,0,192.63,2025-05-31,342,Netherlands
1035,E-commerce,0,215.07,2025-05-05,857,Germany
1036,E-commerce,0,199.55,2025-06-13,793,Italy
1038,E-commerce,0,224.2,2025-05-04,203,Italy
1039,App Mobile,0,405.63,2025-06-13,460,Netherlands
104,App Mobile,0,555.25,2025-04-20,373,Spain
1040,App Mobile,1,277.8,2025-05-16,608,France
1042,App Mobile,1,45.5,2025-05-13,822,Germany
1044,App Mobile,0,428.76,2025-04-30,268,Germany
1045,E-commerce,0,288.98,2025-05-14,113,Germany
1047,E-commerce,0,441.52,2025-04-17,161,Spain
1049,App Mobile,0,291.23,2025-04-19,294,Italy
1050,E-commerce,1,376.24,2025-04-06,122,Germany
1052,E-commerce,0,189.24,2025-04-24,563,Netherlands
1053,E-commerce,0,300.19,2025-04-14,620,Netherlands
1054,App Mobile,0,238.03,2025-04-28,493,Germany
1055,App Mobile,0,297.78,2025-05-21,492,Germany
1058,E-commerce,0,339.2,2025-05-26,163,Italy
1059,App Mobile,1,291.47,2025-05-18,640,France
106,E-commerce,0,298.75,2025-04-25,21,France
1060,App Mobile,1,64.19,2025-05-18,648,Germany
1061,App Mobile,0,242.94,2025-04-05,201,France
1062,App Mobile,0,268.2,2025-05-05,100,Italy
1064,E-commerce,0,286.5,2025-04-18,670,Italy
1066,E-commerce,0,415.38,2025-05-14,340,Italy
1067,App Mobile,0,200.77,2025-05-30,176,Germany
1068,E-commerce,0,452.65,2025-05-19,104,Netherlands
1070,App Mobile,0,246.2,2025-04-30,244,Netherlands
1071,App Mobile,0,240.94,2025-06-05,338,Spain
1078,E-commerce,0,332.1,2025-06-16,521,France
1079,App Mobile,0,173.84,2025-06-15,837,Germany
108,E-commerce,0,646.1,2025-05-19,414,Germany
1082,App Mobile,0,298.6,2025-06-04,774,Portugal
1083,E-commerce,0,313.89,2025-05-15,340,Italy
1084,E-commerce,0,495.83,2025-04-28,477,Spain
1085,E-commerce,0,200.04,2025-05-14,51,Germany
1086,E-commerce,0,224.18,2025-04-17,561,France
1087,App Mobile,0,364.9,2025-05-24,628,France
1088,App Mobile,0,340,2025-04-13,385,Germany
1093,App Mobile,0,107.55,2025-05-25,474,France
1095,E-commerce,0,261.45,2025-06-16,109,France
1096,E-commerce,0,218.98,2025-04-05,867,France
1097,App Mobile,0,228.41,2025-06-15,271,Germany
1098,App Mobile,0,354.25,2025-05-27,564,Italy
1099,E-commerce,1,230.63,2025-05-06,81,Germany
11,App Mobile,0,327.88,2025-05-20,187,France
1100,E-commerce,0,262.86,2025-06-17,837,Germany
1102,App Mobile,1,214.7,2025-05-14,624,Spain
1103,E-commerce,0,108.13,2025-05-31,393,France
1106,E-commerce,0,219.78,2025-06-05,35,France
1108,E-commerce,0,194.29,2025-05-27,58,Germany
1109,E-commerce,0,78.69,2025-05-27,359,France
1110,E-commerce,1,390.78,2025-06-06,402,Italy
1111,App Mobile,0,204.48,2025-04-18,687,France
1112,App Mobile,0,229.4,2025-04-25,953,France
1113,App Mobile,0,304.05,2025-04-19,958,Germany
1115,E-commerce,0,501.76,2025-04-19,872,Netherlands
1116,E-commerce,0,318.59,2025-05-21,640,France
1117,E-commerce,0,190.25,2025-06-15,660,Italy
1119,E-commerce,0,147.22,2025-05-19,976,Italy
112,E-commerce,1,445.72,2025-06-06,876,Italy
1122,E-commerce,0,412.92,2025-06-16,609,Italy
1123,E-commerce,0,342.14,2025-05-27,18,France
1124,E-commerce,0,162.23,2025-04-29,314,Germany
1127,E-commerce,0,281.04,2025-05-13,144,Germany
1128,App Mobile,0,96.84,2025-05-31,759,France
1129,App Mobile,0,125.14,2025-05-21,892,Germany
113,App Mobile,0,448.08,2025-05-25,872,Netherlands
1130,E-commerce,0,579.95,2025-05-26,385,Germany
1132,App Mobile,0,267.61,2025-05-20,231,France
1133,E-commerce,0,210.9,2025-04-25,745,Italy
1134,App Mobile,0,324.16,2025-05-28,580,Italy
1135,App Mobile,0,202.84,2025-05-20,946,France
1136,App Mobile,0,111.97,2025-06-14,460,Netherlands
1137,E-commerce,0,380.37,2025-05-17,505,Germany
1138,E-commerce,0,375.32,2025-04-27,958,Germany
1139,App Mobile,0,422.16,2025-04-16,21,France
114,App Mobile,0,280.43,2025-04-25,903,Spain
1143,E-commerce,1,155.13,2025-04-06,472,France
1144,E-commerce,0,141.99,2025-05-20,700,Portugal
1146,E-commerce,0,326.72,2025-05-24,15,Netherlands
1148,App Mobile,1,448.98,2025-05-13,562,Germany
1149,E-commerce,0,441.5,2025-05-30,948,Spain
115,App Mobile,0,169.37,2025-05-04,879,Netherlands
1150,App Mobile,0,607.24,2025-06-05,220,Germany
1152,E-commerce,0,375.47,2025-04-22,157,Italy
1153,App Mobile,1,149.91,2025-05-17,177,Italy
1154,E-commerce,0,323.44,2025-05-05,314,Germany
1155,E-commerce,0,414.54,2025-05-23,843,France
1156,App Mobile,0,434.04,2025-05-21,963,Germany
1158,E-commerce,0,232.32,2025-04-29,764,France
116,App Mobile,0,195.35,2025-04-05,706,France
1160,E-commerce,0,326.35,2025-04-19,264,Netherlands
1161,App Mobile,0,282.2,2025-04-26,152,France
1162,App Mobile,0,490.12,2025-05-04,830,Italy
1165,E-commerce,0,154.08,2025-04-22,664,France
1166,E-commerce,0,284.19,2025-05-17,243,Germany
1168,E-commerce,0,296.37,2025-06-13,492,Germany
1169,E-commerce,0,122.99,2025-05-16,490,Germany
1170,App Mobile,0,214.32,2025-06-04,547,France
1172,E-commerce,0,387.04,2025-05-31,63,Netherlands
1173,App Mobile,1,216.76,2025-05-16,689,Spain
1175,E-commerce,0,71.92,2025-05-05,664,France
1177,E-commerce,0,405.31,2025-04-27,960,Germany
1178,App Mobile,0,286.19,2025-04-15,274,Germany
1179,E-commerce,0,250.58,2025-04-29,462,Italy
118,E-commerce,0,788.58,2025-05-18,92,Italy
1180,E-commerce,0,273.14,2025-05-26,777,Spain
1182,E-commerce,0,189.9,2025-06-16,936,Netherlands
1183,App Mobile,0,464.44,2025-04-18,792,Italy
1184,App Mobile,0,126.28,2025-04-25,752,Italy
1185,E-commerce,0,207.36,2025-05-05,15,Netherlands
1186,E-commerce,0,521.99,2025-04-17,749,Spain
1187,E-commerce,0,161.42,2025-04-14,365,France
1189,E-commerce,0,443.88,2025-04-24,131,Germany
1192,App Mobile,0,302.23,2025-05-22,702,Portugal
1193,E-commerce,0,388.54,2025-04-15,864,Netherlands
1194,E-commerce,0,419.1,2025-05-13,816,Netherlands
1195,App Mobile,0,137.94,2025-04-22,403,Germany
1196,App Mobile,0,164.14,2025-05-23,160,Germany
1197,E-commerce,0,384.56,2025-05-22,390,Germany
1198,E-commerce,1,169.7,2025-05-06,914,Spain
1199,E-commerce,0,342.57,2025-06-14,922,Spain
120,E-commerce,1,431.8,2025-06-06,999,Germany
1200,App Mobile,1,206.5,2025-05-16,171,Italy
1201,App Mobile,0,252.86,2025-04-17,625,Portugal
1205,E-commerce,0,311.61,2025-05-28,88,Germany
1206,E-commerce,0,310.54,2025-04-19,701,Spain
1207,App Mobile,0,278.18,2025-04-05,907,Spain
1208,E-commerce,1,454.1,2025-06-06,388,France
1209,E-commerce,0,208.57,2025-04-20,90,Germany
121,App Mobile,0,566.29,2025-04-25,867,France
1210,App Mobile,0,543.2,2025-06-17,864,Netherlands
1211,App Mobile,0,317.66,2025-05-23,346,Italy
1213,E-commerce,0,365.27,2025-05-16,155,Germany
1214,E-commerce,1,301.3,2025-06-06,280,Germany
1215,App Mobile,0,562.51,2025-04-22,638,France
1216,App Mobile,0,105.22,2025-04-27,915,Spain
1218,App Mobile,0,293.92,2025-04-23,497,Germany
1219,E-commerce,0,274.11,2025-05-14,234,Italy
1220,E-commerce,0,299.77,2025-05-21,150,France
1223,App Mobile,1,70.56,2025-05-17,380,Italy
1224,E-commerce,0,172.89,2025-04-19,461,Germany
1225,App Mobile,0,232.25,2025-04-27,204,Germany
1226,App Mobile,1,164.4,2025-05-18,36,France
1227,App Mobile,0,241.04,2025-04-13,780,Portugal
1229,App Mobile,0,343.99,2025-05-29,503,Italy
123,App Mobile,0,410.04,2025-05-21,769,Italy
1230,E-commerce,0,220.21,2025-05-19,954,Portugal
1231,App Mobile,0,535.45,2025-05-04,346,Italy
1234,App Mobile,0,338.34,2025-04-23,641,Spain
1236,E-commerce,0,428.95,2025-06-05,792,Italy
1237,E-commerce,0,400.86,2025-04-28,305,Germany
1239,E-commerce,0,385.12,2025-05-28,253,France
124,E-commerce,0,245.7,2025-04-19,99,Spain
1243,E-commerce,0,138.93,2025-05-19,263,France
1244,E-commerce,0,426.38,2025-05-31,816,Netherlands
1245,E-commerce,0,261.02,2025-05-17,348,Germany
1247,E-commerce,0,540.15,2025-04-21,563,Netherlands
1248,App Mobile,0,190.53,2025-04-13,898,Italy
1249,E-commerce,0,139.01,2025-06-13,467,Spain
125,App Mobile,0,391.31,2025-05-06,601,Germany
1251,App Mobile,0,202.77,2025-04-30,662,Italy
1252,E-commerce,0,429.24,2025-04-29,986,Netherlands
1253,E-commerce,0,289.93,2025-04-24,611,Spain
1254,App Mobile,0,492.02,2025-05-26,103,France
1255,App Mobile,0,104.81,2025-04-16,464,Germany
1256,App Mobile,0,211.32,2025-04-16,393,France
1257,E-commerce,0,420.75,2025-05-27,510,France
1258,App Mobile,0,436.16,2025-05-22,5,Spain
1259,E-commerce,0,296.24,2025-04-15,762,Spain
126,E-commerce,0,484.47,2025-05-15,476,Germany
1262,E-commerce,0,345.74,2025-04-28,456,Italy
1263,App Mobile,0,230.86,2025-04-22,974,Italy
1265,E-commerce,0,447.76,2025-05-21,116,Netherlands
1268,E-commerce,0,313.3,2025-05-18,767,Netherlands
1269,App Mobile,0,159.58,2025-06-14,930,Netherlands
127,App Mobile,0,566.98,2025-04-13,490,Germany
1270,App Mobile,0,295.25,2025-04-24,459,France
1271,E-commerce,0,314.71,2025-05-04,633,Spain
1272,App Mobile,0,188.26,2025-04-15,254,Italy
1273,App Mobile,0,286.62,2025-05-24,510,France
1275,App Mobile,0,323.54,2025-04-04,655,Italy
1276,App Mobile,0,309.58,2025-06-05,704,Germany
1277,App Mobile,0,440.86,2025-06-05,277,Italy
128,E-commerce,0,282.19,2025-04-19,115,Germany
1280,App Mobile,0,168.2,2025-04-23,647,France
1281,App Mobile,0,140.28,2025-04-06,772,Spain
1285,App Mobile,0,395.24,2025-05-31,581,Germany
1286,E-commerce,1,213.94,2025-06-06,628,France
129,App Mobile,0,442.47,2025-05-26,81,Germany
1290,E-commerce,0,152.54,2025-04-22,99,Spain
1291,E-commerce,0,101.64,2025-05-19,615,Portugal
1292,E-commerce,0,390.07,2025-04-21,338,Spain
1294,E-commerce,0,249.28,2025-04-22,407,Italy
1295,E-commerce,0,275.39,2025-05-17,144,Germany
1296,App Mobile,1,108.54,2025-05-18,331,Spain
1297,App Mobile,0,167.61,2025-04-29,14,Germany
1298,E-commerce,0,115.34,2025-05-16,993,Germany
13,App Mobile,0,696.62,2025-04-16,253,France
130,App Mobile,0,553.92,2025-04-05,962,Portugal
1300,E-commerce,0,303,2025-04-15,147,Germany
1303,E-commerce,0,287.88,2025-05-21,22,Germany
1304,App Mobile,0,88.35,2025-04-14,839,Germany
1306,E-commerce,0,334.56,2025-06-15,188,France
1308,E-commerce,0,254.26,2025-05-14,872,Netherlands
1309,App Mobile,0,299.49,2025-04-19,131,Germany
131,E-commerce,0,625.66,2025-04-22,816,Netherlands
1310,E-commerce,0,504.88,2025-05-22,798,Portugal
1311,E-commerce,0,268.73,2025-05-31,958,Germany
1312,App Mobile,0,429.04,2025-04-28,841,Spain
1313,App Mobile,0,190.84,2025-05-24,601,Germany
1314,App Mobile,0,234.64,2025-04-06,776,Portugal
1315,App Mobile,0,409.24,2025-04-26,344,Netherlands
1316,App Mobile,1,134.98,2025-05-15,392,Netherlands
1317,E-commerce,0,288.56,2025-06-04,285,France
1318,E-commerce,0,323.18,2025-05-18,265,Italy
132,App Mobile,0,395.09,2025-04-20,839,Germany
1320,E-commerce,0,91.9,2025-04-17,730,Spain
1321,E-commerce,0,455.53,2025-06-14,217,Italy
1322,E-commerce,0,269.84,2025-05-27,27,Italy
1326,E-commerce,0,310.98,2025-05-18,883,Italy
1327,E-commerce,0,113.56,2025-04-19,770,Portugal
1328,E-commerce,0,143.15,2025-06-16,201,France
1329,App Mobile,0,94.92,2025-04-27,28,Spain
133,App Mobile,0,450.74,2025-06-14,570,Spain
1330,App Mobile,0,343.78,2025-04-04,277,Italy
1331,App Mobile,0,257.03,2025-04-26,447,France
1332,E-commerce,0,161.81,2025-05-13,783,Italy
1333,App Mobile,1,115.4,2025-05-14,215,Netherlands
1335,App Mobile,0,258.46,2025-04-24,999,Germany
1336,E-commerce,0,184.47,2025-04-04,557,Spain
1337,App Mobile,1,352.02,2025-05-18,943,Italy
1339,App Mobile,0,121.01,2025-04-23,796,Netherlands
1342,E-commerce,0,469.26,2025-05-23,990,Spain
1343,E-commerce,0,352.5,2025-05-28,767,Netherlands
1344,App Mobile,0,179.43,2025-04-21,857,Germany
1348,E-commerce,0,451.03,2025-05-20,473,France
1349,E-commerce,0,173.5,2025-05-27,37,Netherlands
135,E-commerce,0,702.11,2025-05-15,607,France
1352,App Mobile,0,419.08,2025-05-22,574,Italy
136,E-commerce,0,357.39,2025-06-14,206,Spain
138,E-commerce,0,406.4,2025-06-14,106,Germany
139,App Mobile,0,631.08,2025-05-21,473,France
141,E-commerce,0,617.09,2025-06-15,861,Portugal
142,E-commerce,0,410.77,2025-05-25,151,Spain
143,E-commerce,0,324.41,2025-06-16,956,Portugal
144,App Mobile,0,296.59,2025-04-20,961,Germany
145,E-commerce,0,391.58,2025-05-20,135,France
146,E-commerce,0,310.87,2025-04-15,420,Germany
147,E-commerce,0,336.73,2025-05-17,386,France
15,E-commerce,0,421.64,2025-05-20,33,Italy
151,E-commerce,0,396.18,2025-04-14,818,France
152,App Mobile,0,422.84,2025-04-05,759,France
154,E-commerce,0,448.34,2025-04-22,551,France
155,E-commerce,1,336.34,2025-04-06,516,Germany
156,E-commerce,0,364.16,2025-05-24,819,Italy
158,E-commerce,0,393.98,2025-04-13,813,Germany
160,App Mobile,0,663.69,2025-04-25,1,France
161,App Mobile,0,608.67,2025-04-26,703,Germany
163,App Mobile,0,622.18,2025-05-20,283,France
164,App Mobile,0,604.53,2025-04-17,442,Germany
165,E-commerce,0,308.72,2025-05-28,748,Netherlands
166,E-commerce,0,517.88,2025-06-05,354,Germany
167,E-commerce,0,632.5,2025-05-18,277,Italy
168,App Mobile,0,482.74,2025-04-04,896,Portugal
17,E-commerce,0,515.1,2025-04-29,516,Germany
171,E-commerce,0,564.17,2025-04-15,158,Netherlands
172,App Mobile,1,178.2,2025-05-13,398,Spain
173,E-commerce,0,535.45,2025-05-15,279,France
175,App Mobile,0,339.82,2025-04-18,113,Germany
179,App Mobile,0,525.72,2025-05-29,663,Netherlands
180,App Mobile,0,190.08,2025-06-13,641,Spain
181,App Mobile,0,659.3,2025-05-06,252,Italy
183,E-commerce,0,161.43,2025-05-16,871,Netherlands
184,E-commerce,0,403.3,2025-04-18,192,Spain
188,E-commerce,0,530.73,2025-04-05,192,Spain
189,E-commerce,0,371.17,2025-04-25,684,Netherlands
190,App Mobile,0,291.5,2025-06-17,247,Netherlands
191,App Mobile,0,381.4,2025-05-23,367,Netherlands
193,E-commerce,0,433.24,2025-05-18,92,Italy
195,App Mobile,0,699.78,2025-05-20,220,Germany
198,App Mobile,0,458.63,2025-04-23,302,Germany
199,App Mobile,1,155.23,2025-05-19,929,Netherlands
2,E-commerce,0,357.54,2025-05-16,41,Germany
20,E-commerce,0,665.8,2025-04-04,638,France
200,App Mobile,0,317.71,2025-04-05,162,Germany
201,App Mobile,0,492.32,2025-05-27,675,Italy
202,App Mobile,0,516.82,2025-05-28,972,France
204,E-commerce,0,206.76,2025-06-05,163,Italy
207,E-commerce,0,438.51,2025-05-15,884,Spain
209,App Mobile,0,343.05,2025-05-31,436,Germany
21,E-commerce,0,538.23,2025-06-14,685,Spain
210,E-commerce,0,598.88,2025-05-22,392,Netherlands
211,E-commerce,1,490.53,2025-05-06,676,Portugal
212,App Mobile,0,300.97,2025-05-05,302,Germany
214,App Mobile,0,583.42,2025-04-28,572,Netherlands
215,E-commerce,1,399.74,2025-04-06,691,Italy
216,E-commerce,0,238.58,2025-05-22,968,Italy
217,E-commerce,0,410.95,2025-06-04,646,Spain
220,E-commerce,0,525.55,2025-04-18,566,Italy
221,E-commerce,0,466.16,2025-05-16,107,Germany
222,App Mobile,0,349.66,2025-05-21,288,Italy
224,App Mobile,0,607.94,2025-04-25,773,Spain
225,App Mobile,0,540.02,2025-05-20,806,Italy
226,App Mobile,0,401.31,2025-04-23,575,Netherlands
229,E-commerce,0,543.17,2025-06-16,699,Netherlands
23,App Mobile,0,457.32,2025-04-28,987,Portugal
230,App Mobile,0,404.19,2025-04-21,428,Spain
231,E-commerce,0,385.35,2025-04-24,453,France
232,App Mobile,0,561.55,2025-05-30,285,France
233,E-commerce,0,374.24,2025-04-28,499,France
234,App Mobile,0,533.21,2025-05-20,198,Germany
235,E-commerce,0,266.42,2025-06-04,411,Germany
237,E-commerce,0,465.41,2025-05-16,167,France
238,E-commerce,0,378.22,2025-05-19,958,Germany
239,E-commerce,0,710.55,2025-04-20,2,France
24,App Mobile,1,173.28,2025-05-13,750,Spain
240,App Mobile,0,757.22,2025-05-31,270,Germany
241,App Mobile,0,411.47,2025-06-06,725,Spain
242,App Mobile,0,593.44,2025-05-23,106,Germany
245,E-commerce,0,221.6,2025-05-29,673,Germany
247,App Mobile,0,288.21,2025-04-04,672,Germany
248,App Mobile,0,478.04,2025-04-23,99,Spain
250,App Mobile,0,581.85,2025-06-16,49,Netherlands
251,E-commerce,1,318.34,2025-04-06,996,Germany
252,App Mobile,0,336.11,2025-04-18,836,Germany
253,App Mobile,0,422.76,2025-04-27,233,France
255,E-commerce,0,187.46,2025-04-30,509,Netherlands
256,E-commerce,0,432.34,2025-05-21,881,Portugal
258,E-commerce,0,439.49,2025-05-29,94,France
259,App Mobile,1,296.87,2025-05-19,48,Germany
260,E-commerce,0,528.34,2025-05-14,41,Germany
262,App Mobile,0,480.78,2025-04-29,28,Spain
264,App Mobile,0,253.51,2025-05-31,131,Germany
265,App Mobile,0,307.83,2025-05-26,346,Italy
269,App Mobile,0,503.93,2025-05-24,298,Germany
272,App Mobile,0,487.95,2025-05-05,718,Italy
273,App Mobile,0,489.56,2025-06-16,682,Portugal
274,E-commerce,0,157.15,2025-04-19,349,Germany
275,App Mobile,0,391.32,2025-04-18,58,Germany
276,App Mobile,0,395.94,2025-06-04,420,Germany
277,E-commerce,0,534.45,2025-05-26,791,Portugal
278,App Mobile,0,295.83,2025-06-13,626,Italy
279,E-commerce,0,330.38,2025-06-16,852,Portugal
281,App Mobile,1,375.37,2025-05-17,730,Spain
282,App Mobile,0,391.74,2025-05-26,736,Germany
284,App Mobile,0,362.54,2025-04-29,880,Portugal
285,App Mobile,0,448.77,2025-05-29,415,France
286,App Mobile,1,348.33,2025-05-18,184,France
287,E-commerce,0,578.5,2025-05-15,556,Italy
288,App Mobile,0,732.73,2025-04-05,750,Spain
289,App Mobile,1,268.8,2025-05-18,190,Italy
29,App Mobile,0,445.12,2025-04-25,208,France
291,E-commerce,0,696.69,2025-04-30,379,Germany
292,App Mobile,0,317.3,2025-04-30,103,France
293,E-commerce,0,391.81,2025-04-05,373,Spain
294,E-commerce,0,290.39,2025-06-17,489,Germany
295,App Mobile,1,408.14,2025-05-13,720,Spain
297,App Mobile,1,275.27,2025-05-17,235,Italy
298,E-commerce,0,376.14,2025-05-18,401,France
299,App Mobile,1,489.11,2025-05-13,403,Germany
3,App Mobile,0,337.56,2025-04-22,139,Germany
301,App Mobile,1,241.1,2025-05-17,825,Netherlands
303,App Mobile,0,635.02,2025-05-06,396,Netherlands
305,E-commerce,0,541.03,2025-04-28,878,Germany
306,E-commerce,0,257.31,2025-04-26,566,Italy
307,E-commerce,0,332,2025-05-21,567,Netherlands
309,App Mobile,0,414.75,2025-05-25,365,France
31,App Mobile,0,292.78,2025-05-20,776,Portugal
310,E-commerce,0,503.83,2025-04-18,726,Germany
312,E-commerce,0,509.07,2025-05-31,72,Spain
313,App Mobile,0,712.86,2025-06-06,271,Germany
314,E-commerce,0,446.09,2025-05-18,377,Spain
318,E-commerce,0,376.3,2025-04-17,681,Germany
319,App Mobile,0,431.38,2025-05-31,728,Netherlands
32,App Mobile,0,540.69,2025-04-21,982,Italy
321,App Mobile,0,465.62,2025-05-31,779,Netherlands
323,E-commerce,0,265.56,2025-06-05,512,Germany
326,E-commerce,0,666.64,2025-04-19,472,France
328,E-commerce,0,218.19,2025-05-13,316,France
329,E-commerce,0,605.24,2025-04-04,388,France
33,E-commerce,0,227.32,2025-04-23,805,Germany
330,E-commerce,0,558.38,2025-04-24,920,Spain
331,App Mobile,0,263.87,2025-06-05,100,Italy
332,App Mobile,0,380.25,2025-05-24,932,France
333,E-commerce,0,427.6,2025-05-22,842,Italy
334,App Mobile,0,496.23,2025-05-29,675,Italy
335,App Mobile,0,747.5,2025-04-15,642,Portugal
336,E-commerce,0,536.47,2025-06-17,790,France
337,App Mobile,0,467.38,2025-05-24,873,France
338,E-commerce,0,410.86,2025-04-21,670,Italy
341,App Mobile,1,449.94,2025-05-13,816,Netherlands
343,App Mobile,0,587.46,2025-06-17,170,France
344,App Mobile,0,291.52,2025-06-14,485,Netherlands
345,E-commerce,0,648.04,2025-04-14,929,Netherlands
346,App Mobile,0,318.61,2025-05-26,231,France
347,E-commerce,0,402.53,2025-05-18,769,Italy
348,E-commerce,0,654.98,2025-05-30,776,Portugal
349,App Mobile,0,523.43,2025-06-15,854,Portugal
35,E-commerce,0,433.96,2025-04-27,574,Italy
350,E-commerce,0,529.4,2025-04-19,129,France
351,E-commerce,0,494.28,2025-05-27,840,Germany
352,E-commerce,0,698.65,2025-05-04,231,France
354,App Mobile,0,342.09,2025-04-04,545,Germany
356,App Mobile,1,344.13,2025-05-13,59,Germany
357,E-commerce,0,548.56,2025-04-26,519,Italy
358,App Mobile,0,603.85,2025-04-06,587,Germany
359,App Mobile,0,590.5,2025-04-18,503,Italy
36,E-commerce,0,380.74,2025-05-28,475,Italy
360,App Mobile,0,568.53,2025-04-24,981,Spain
361,E-commerce,0,684.03,2025-05-05,289,Netherlands
362,App Mobile,0,514.28,2025-05-25,861,Portugal
369,E-commerce,0,257.37,2025-04-29,832,Italy
37,App Mobile,0,715.38,2025-04-22,720,Spain
370,App Mobile,0,186.88,2025-04-21,225,France
371,E-commerce,0,459.42,2025-04-20,470,Italy
375,E-commerce,0,420.74,2025-04-14,819,Italy
376,App Mobile,1,195.76,2025-05-19,497,Germany
377,E-commerce,0,346.01,2025-05-14,823,Germany
378,App Mobile,0,354.21,2025-04-17,943,Italy
38,E-commerce,0,440.7,2025-05-26,484,France
